0, 767 928 1042 1063;
1, 174 1043;
2, 148 454 634 746 748;
4, 564 605;
5, 355 361 424 460 461 687;
6, 77 555 639;
7, 259 261 274 325 673 690;
8, 279 600 679 1028 1074 1075;
9, 363 404 590 750 958 967 1054;
10, 155 364 379 418 420 476 682 739 927;
11, 354 683 684;
12, 490 613 740 769 908;
13, 1037 1038 1044 1062;
14, 768 799;
15, 694 695 822 830 835 836 872 985 989 1005;
16, 129 272 397;
17, 229 353 458 754 1111;
18, 36 118 200 235 357 697;
19, 7 63 73 116 137 497;
20, 347 560 562 777 778;
21, 343 606 796 1034;
22, 320 752 960 961;
23, 326 327 402 1000;
24, 433 516 685 800 950;
25, 108 382 482 672 674 689 914;
26, 293 383 425;
27, 32 341 372 373 658;
28, 554 566 920 931;
29, 92 107 167;
30, 221 384 422 473 480 496;
31, 177 191 487 547;
32, 198 232 411 463 565 616;
33, 230 241 563;
34, 109 139 322 332 376 440 620 621 657 726 732 813 898;
35, 81 318 321 899 909 946;
36, 10 99 610 912 915;
37, 15 671 678 686 979;
38, 1131 1132 1133;
39, 1 219 375 568 612 614 628 734;
40, 14 122 160 237 251 298 414 474 485 618 786 790;
41, 61 558 569 653 669 855 858 916 937 955;
42, 286 594 765 1137;
43, 392 664 940;
44, 28 265 287 401 523 860;
45, 40 141 212 438 441 488 625 1048;
46, 44 524 559 593 630 643 787;
47, 312 380 396;
48, 344 578 609 763 784 803 808;
49, 300 352 735 755 789 828 956 1066;
50, 111 500 693 742 910 911;
51, 505 934 941 1134 1135;
52, 9 301 302 400 450 506 591;
53, 439 622 691;
54, 183 407 660 662 788;
55, 64 520 938 939 978;
56, 389 470 519 585 629 651 864 923 925 930 1097 1114 1117;
57, 43 138 514 728 736 805 832 850 886 891;
58, 226 602 811;
59, 49 190 202 270 436 603 667 802 889 1019;
60, 267 323 378 528 663 792 807 977 1029 1069;
61, 11 66 168 751 907;
62, 97 283 409 571 598 918 1078;
63, 65 340 342 386 533;
64, 0 120 223 242 273 295 512 527 723 846 1103;
65, 71 157 165 246 399 455 468 469 1018 1033 1052;
66, 791 816 824 964;
67, 170 798 867 1004 1047;
68, 412 604 617 729 1020 1057 1099 1101 1104 1121;
69, 147 289 415 550 1116;
70, 266 428 665 757 781 849 880 883 922 959 1126;
71, 724 727 731 766 814 815 905 935;
72, 91 417 668 906 970;
